,Wiki Entity ID,Label,Description,Instance of,Sex or Gender
4681,Q3385951,Pierre Le Sueur,French painter (1922–2011),Q5,Q6581097
4682,Q21745600,Léon Duval-Gozlan,French painter (1853-1941),Q5,Q6581097
4683,Q5242608,Dawoud Bey,African American artist,Q5,Q6581097
4684,Q2007300,O. Winston Link,American photographer (1914-2001),Q5,Q6581097
4685,Q55218969,Frank Graham Holmes,American artist (1878–1954),Q5,Q6581097
4686,Q2420238,Theseus Painter,Attic black-figure vase painter,Q5,Q6581097
4687,Q5126267,Clare Turlay Newberry,American children's illustrator and writer,Q5,Q6581072
4688,Q318703,Edmund Randolph,American attorney (1753-1813),Q5,Q6581097
4689,Q34597,James A. Garfield,president of the United States in 1881,Q5,Q6581097
4690,Q60624666,Francesco Cecchini,"Person; male; Engraver in Rome, pupil of Volpato. Made a series of plates after Perugino's frescos in the Collegio del Cambio in Perugia in 1780s; printmaker; Italian; c.1750; 1811",Q5,Q6581097
4691,Q504963,Lippo Memmi,Italian painter (1291-1356),Q5,Q6581097
4692,Q63035850,Caitlin Keogh,American painter,Q5,Q6581072
4693,Q20873014,Sidney Goodman,American painter,Q5,Q6581097
4694,Q18810539,Helena de Kay Gilder,"American illustrator, painter and a founder of the Art Students League and Society of American Artists",Q5,Q6581072
4695,Q3403542,John Dillwyn Llewelyn,British photographer and botanist (1810-1882),Q5,Q6581097
4696,Q7079909,"Ogden Codman, Jr.","American architect, interior decorator, author (1863–1951)",Q5,Q6581097
4697,Q4723356,Alfred Robert Freebairn,British engraver,Q5,Q6581097
4698,Q18508479,Louis Marie Sicard,French painter (1743-1825),Q5,Q6581097
4699,Q437571,Richard Neville,jure uxoris 16th Earl of Warwick and suo jure 6th Earl of Salisbury (1428-1471),Q5,Q6581097
4700,Q59298767,Miskina,Indian painter,Q5,Q6581097
4701,Q20861416,Willie Birch,African American artist (1942- ),Q5,Q6581097
4702,Q700336,Clyfford Still,American artist (1904-1980),Q5,Q6581097
4703,Q29044432,Charles-François de la Traverse,French painter,Q5,Q6581097
4704,Q829682,Albert Henry Payne,British artist in Leipzig (1812-1902),Q5,Q6581097
4705,Q911575,Paul-Jacques-Aimé Baudry,French painter (1828-1886),Q5,Q6581097
4706,Q7351186,Robert Winthrop Chanler,American artist (1872-1930),Q5,Q6581097
4707,Q659429,François Joseph Bosio,Monegasque sculptor (1768-1845),Q5,Q6581097
4708,Q53012058,Edward Richard Whitfield,line engraver,Q5,Q6581097
4709,Q20669603,Charles James Turrell,British artist,Q5,Q6581097
4710,Q822982,Bernardo Cavallino,Italian painter (1616-1656),Q5,Q6581097
4711,Q6304405,Judy Dater,American photographer and feminist,Q5,Q6581072
4712,Q18508415,John Woodhouse Audubon,"American painter, draftsman and illustrator",Q5,Q6581097
4713,Q21993986,Tod Wizon,,Q5,Q6581097
4714,Q43126899,Fereydoun Ave,"Iranian artist, curator and collector",Q5,Q6581097
4715,Q29876996,Julia Ann Fitch,American embroiderer,Q5,Q6581072
4716,Q861385,Pellegrini Tiballdi,Italian painter and architect (1527-1596),Q5,Q6581097
4717,Q2978114,Claude Saint-Cyr,French milliner based London and Paris,Q5,Q6581072
4718,Q26899558,Clifford Addams,American painter and etcher,Q5,Q6581097
4719,Q56025072,Nat Lowell,,Q5,
4720,Q21462115,Umberto Giunti,Italian artist,Q5,Q6581097
4721,Q720910,Daniel Chester French,American sculptor (1850–1931),Q5,Q6581097
4722,Q5473873,Fostoria Glass Company,defunct popular glassware company,Q4830453,
4723,Q1919255,Meleager Painter,ancient Greek vase painter,Q5,Q6581097
4724,Q51463837,Laurent Guyot,"French painter and engraver, 1756-after 1806",Q5,Q6581097
4725,Q19287770,Kaspar Meglinger,Swiss painter (1595-1670),Q5,Q6581097
4726,Q700019,Kikuchi Yōsai,Japanese painter (1788–1878),Q5,Q6581097
4727,Q662900,Henri-Georges Adam,"Engraver, sculptor (1904-1967)",Q5,Q6581097
4728,Q2294631,Onorio Marinari,Italian painter (1627-1715),Q5,Q6581097
4729,Q52153952,Johann Prüss,German book printer active in Strasburg,Q5,Q6581097
4730,Q6257897,John Simon,French-born English mezzotint engraver,Q5,Q6581097
4731,Q3156405,Iwasa Matabei,Japanese artist (1578-1650),Q5,Q6581097
4732,Q2954774,Pieter Stockmans,Belgian industrial designer and ceramist,Q5,Q6581097
4733,Q27999658,Carlo Bavagnoli,,Q5,Q6581097
4734,Q18572054,James Forrester,Irish painter,Q5,Q6581097
4735,Q515745,Pamela Colman Smith,"British occultist, artist and illustrator (1878–1951)",Q5,Q6581072
4736,Q55259369,Akeeaktashuk,"Inuit sculptor, 1898-1954",Q5,Q6581097
4737,Q465342,Wifredo Lam,Cuban artist (1902-1982),Q5,Q6581097
4738,Q52149197,Lorenzo Loli,Italian artist,Q5,Q6581097
4739,Q7153905,Paul T. Frankl,American architect (1886–1958),Q5,Q6581097
4740,Q783797,Johann Wilhelm Preyer,German painter (1803-1889),Q5,Q6581097
4741,Q1929159,Michael Sandle,British sculptor and artist,Q5,Q6581097
4742,Q542546,Marion Mahony Griffin,American architect and artist (1871–1961),Q5,Q6581072
4743,Q66317597,Jean-François Dunant,French painter,Q5,Q6581097
4744,Q892140,Leopold Eidlitz,American architect (1823-1908),Q5,Q6581097
4745,Q51716235,Lecce painter,,Q5,
4746,Q8050777,Ye Xin,Chinese painter,Q5,Q6581097
4747,Q2896077,Benjamin Fillon,French archaeologist (1819–1881),Q5,Q6581097
4748,Q3048317,Muqi,Chinese painter,Q5,Q6581097
4749,Q3263107,Louis Senault,,Q5,Q6581097
4750,Q5722346,Henry Gyles,British artist (1640-1709),Q5,Q6581097
4751,Q18671097,Edward William Wyon,"English sculptor, c1811-1885",Q5,Q6581097
4752,Q5345323,Edward Shuter,British actor,Q5,Q6581097
4753,Q324091,Baccio Baldini,Italian goldsmith and engraver (c. 1436 – 1487),Q5,Q6581097
4754,Q6900410,Monir Shahroudy Farmanfarmaian,"Contemporary Iranian artist, mosaic work",Q5,Q6581072
4755,Q712996,Minor White,(1908-1976) American photographer,Q5,Q6581097
4756,Q8004950,William Baillie,"Irish artist, printmaker and art collector (1723-1810)",Q5,Q6581097
4757,Q7497,Emperor Lizong of Song,Chinese emperor from 1224 to 1264,Q5,Q6581097
4758,Q386392,Edward Matthew Ward,painter (1816-1879),Q5,Q6581097
4759,Q722792,David Octavius Hill,Scottish painter and photographer (1802-1870),Q5,Q6581097
4760,Q243240,Louis Sullivan,American architect (1856-1924),Q5,Q6581097
4761,Q732468,François Lemoyne,French painter (1688-1737),Q5,Q6581097
4762,Q577728,Johann Michael Feuchtmayer the Elder,German artist (1666-1713),Q5,Q6581097
4763,Q7411419,Samuel Freeman,English engraver (1773-1857),Q5,Q6581097
4764,Q2871515,Augustin-Louis Belle,French painter (1757-1841),Q5,Q6581097
4765,Q214666,Léon Bakst,Russian artist (1866–1924),Q5,Q6581097
4766,Q50821447,Boris Margo,American painter (1902-1995),Q5,Q6581097
4767,Q2706478,Camillo Rusconi,Italian sculptor (1658-1728),Q5,Q6581097
4768,Q21638081,Jan Sebastiaen Loybos,Flemish painter,Q5,Q6581097
4769,Q20981214,Gerardus Duyckinck I,"American limner, painter, and glassworker",Q5,Q6581097
4770,Q3725171,Endymion Porter,English politician (1587-1649),Q5,Q6581097
4771,Q229455,Cindy Sherman,American photographer,Q5,Q6581072
4772,Q2977512,Claude Gros de Boze,French numismatist (1680-1753),Q5,Q6581097
4773,Q333366,Francesco Primaticcio,Italian painter (1504-1570),Q5,Q6581097
4774,Q2313382,Cecco Bravo,Italian painter (1601-1661),Q5,Q6581097
4775,Q203266,Titios Painter,"etruscan case-painter of black-figure style (""pontic vases"")",Q5,Q6581097
4776,Q317041,Otto Mueller,German painter and printmaker of the expressionist movement (1874–1930),Q5,Q6581097
4777,Q7660014,Sydney Lee,British wood engraver (1866–1949),Q5,Q6581097
4778,Q703660,Tom Wesselmann,American artist (1931-2004),Q5,Q6581097
4779,Q41309,Franz Liszt,Hungarian romantic composer and virtuoso pianist (1811–1886),Q5,Q6581097
4780,Q48620871,Konrad Cramer,"American, Germany born painter and photographer (1888–1963)",Q5,Q6581097
4781,Q4507415,Charles Ginnever,American artist (1931–2019),Q5,Q6581097
4782,Q302714,Aaron Siskind,American photographer (1903-1991),Q5,Q6581097
4783,Q528753,Bertall,"French illustrator, cartoonist and engraver (1820-1882)",Q5,Q6581097
4784,Q34639477,Bruce Cratsley,American photographer (1944-1998),Q5,Q6581097
4785,Q21095016,Thomas Nozkowski,American painter (1944-2019),Q5,Q6581097
4786,Q6272294,Jonas Umbach,German painter and engraver (1624-1693),Q5,Q6581097
4787,Q188936,William Tecumseh Sherman,United States Army general (1820–1891),Q5,Q6581097
4788,Q365078,Adolfo Farsari,"Italian-born photographer based in Yokohama, Japan (1841-1898)",Q5,Q6581097
4789,Q55805032,Antonio  Viviani,Italian engraver (1797-1854),Q5,Q6581097
4790,Q95377397,Kamil Kubík,,Q5,Q6581097
4791,Q5538851,George Edmund Street,English architect (1824-1881),Q5,Q6581097
4792,Q58035973,Domenico Mauro,"Italian artist, active 1685",Q5,Q6581097
4793,Q257604,Princess Amelia of the United Kingdom,daughter of King George III of the United Kingdom,Q5,Q6581072
4794,Q3580048,Édouard Traviès,French painter (1809-1876),Q5,Q6581097
4795,Q43128466,Michal Chelbin,Israeli artist,Q5,Q6581072
4796,Q2978077,Claude Roger-Marx,French art historian,Q5,Q6581097
4797,Q271884,Norman Rockwell,American painter and illustrator (1894–1978),Q5,Q6581097
4798,Q5544633,George Smith,"English painter and poet, born 1713",Q5,Q6581097
4799,Q3107041,Giovanni Battista Bolognini,Italian painter and printmaker (1611-1688),Q5,Q6581097
4800,Q525713,Howard Pyle,American illustrator and author (1853-1911),Q5,Q6581097
4801,Q528620,Giuseppe Maria Crespi,Italian painter (1665–1747),Q5,Q6581097
4802,Q22808137,Federico Vegas,Venezuelan architect,Q5,Q6581097
4803,Q7323845,Richard B. Connolly,American politician,Q5,Q6581097
4804,Q6251707,John P. Soule,American photographer,Q5,Q6581097
4805,Q63012562,Susan Crocker,American photographer,Q5,Q6581072
4806,Q26247959,Gilles Edme Petit,"French engraver and draftsman, ca. 1694-1760",Q5,Q6581097
4807,Q29082167,Clément Massier,French ceramist,Q5,Q6581097
4808,Q21786411,Molesworth Phillips,English marine officer (1755-1832),Q5,Q6581097
4809,Q37516441,Edgar Holloway,Person; male; Etcher; printmaker; British; 1914-2008,Q5,Q6581097
4810,Q468453,Jean Lurçat,French painter (1892–1966),Q5,Q6581097
4811,Q24707741,Charles Cabrier II,British clockmaker and maker of scientific instruments,Q5,Q6581097
4812,Q819197,Asmus Jacob Carstens,German history painter (1754–1798),Q5,Q6581097
4813,Q21288592,Carl Heinrich Hoffmann,German goldsmith and silversmith,Q5,Q6581097
4814,Q5342665,Edward Duncan,English artist (1803-1882),Q5,Q6581097
4815,Q53498743,Louis Bosse,French artist,Q5,Q6581097
4816,Q59554779,William Apthorp Adams,artist (1797-1878),Q5,Q6581097
4817,Q84561556,Claude Charles Gerard,,Q5,Q6581097
4818,Q29422148,Geoffrey Swindell,,Q5,Q6581097
4819,Q2847772,André Fougeron,French painter (1913-1998),Q5,Q6581097
4820,Q26945291,Samuel Casey,American silversmith and counterfeiter,Q5,Q6581097
4821,Q518970,John Craxton,British artist (1922-2009),Q5,Q6581097
4822,Q55676533,Gustav Marisch,,Q5,Q6581097
4823,Q59610153,Judith Turner,"born:1939|; Turner, Judith, 1939-....; טרנר, יהודית; Turner, Judith (American photographer, born 1939)",Q5,Q6581072
4824,Q4209454,Vyacheslav Kalinin,Russian painter,Q5,Q6581097
4825,Q4892939,Bernard Bolingbroke Woodward,English minister and librarian (1816–1869),Q5,Q6581097
4826,Q7183846,Philip Jean,Jersey painter (1755-1802),Q5,Q6581097
4827,Q22969377,Marten de Cock,Flemish painter and draughtsman,Q5,Q6581097
4828,Q257928,William Scott,British artist (1913-1989),Q5,Q6581097
4829,Q4762984,Angelo de Rossi,Italian artist (1671-1715),Q5,Q6581097
4830,Q569354,Gottlieb Schick,German artist (1776-1812),Q5,Q6581097
4831,Q252357,Charles-François Daubigny,French painter (1817-1878),Q5,Q6581097
4832,Q97622899,Louise Amélie Landré,French painter,Q5,Q6581072
4833,Q5393065,Ernest Fiene,American artist (1894-1965),Q5,Q6581097
4834,Q19959350,Georg Einbeck,German painter (1871-1951),Q5,Q6581097
4835,Q632052,Dietrich Wilhelm Lindau,German painter (1799-1862),Q5,Q6581097
4836,Q313211,Alberto Santos-Dumont,Brazilian aviation pioneer (1873-1932),Q5,Q6581097
4837,Q6182901,Jerome Snyder,American artist (1916-1976),Q5,Q6581097
4838,Q3108636,Gleb W. Derujinsky,Russian-American sculptor,Q5,Q6581097
4839,Q29913557,Emily Sargent,American art collector,Q5,Q6581072
4840,Q5716061,Henrietta Ward,British painter (1832-1924),Q5,Q6581072
4841,Q5379753,Enrique Martinez Celaya,Cuban-born American artist,Q5,Q6581097
4842,Q5493032,Frans van Stampart,Flemish painter (1675-1750),Q5,Q6581097
4843,Q2074251,Charles Étienne Briseux,French architect,Q5,Q6581097
4844,Q3206010,Wang Shishen,Chinese painter and calligrapher (1686-1759),Q5,Q6581097
4845,Q5129302,Claudine Bouzonnet-Stella,French engraver (1636–1697),Q5,Q6581072
4846,Q587386,Wynn Bullock,American photographer (1902-1975),Q5,Q6581097
4847,Q77454486,Driscoll Babcock Galleries,American art gallery,Q1007870,
4848,Q2420849,Hispanic Society of America,museum and reference library in New York City for the study of the arts and cultures of Spain and Portugal and their former colonies,Q207694,
4849,Q49789378,Eduard Vermorcken,Flemish woodcarver,Q5,Q6581097
4850,Q52004592,Xing Danwen,photographer,Q5,Q6581072
4851,Q3840105,Luigi Rossi,Swiss artist (1853-1923),Q5,Q6581097
4852,Q57314009,Hans Thoman,German sculptor (active 1502-1525),Q5,Q6581097
4853,Q75447972,Russell Barnett Aitken,American artist (1910-2002),Q5,Q6581097
4854,Q5599,Peter Paul Rubens,Flemish painter (1577–1640),Q5,Q6581097
4855,Q18759239,Benjamin Thomas Pouncy,British draughtsman and engraver,Q5,Q6581097
4856,Q817749,Benjamin Wilson,British painter and scientist (1721-1788),Q5,Q6581097
4857,Q21598064,Adolfo,Cuban designer and milliner,Q5,Q6581097
4858,Q508352,Bruno Braquehais,photographer (1823-1875),Q5,Q6581097
4859,Q3695137,Paolo Piazza,Italian painter (1560-1620),Q5,Q6581097
4860,Q21809611,Kimber Smith,American painter (1922-1981),Q5,Q6581097
4861,Q2958602,Charles Boulanger de Boisfremont,painter (1773-1838),Q5,Q6581097
4862,Q716519,Giuliano da Maiano,Italian artist (1432–1490),Q5,Q6581097
4863,Q3588575,Émile Gilbert,French architect (1795–1874),Q5,Q6581097
4864,Q216873,Pierre Puvis de Chavannes,French artist best known for his mural painting (1824–1898),Q5,Q6581097
4865,Q22132142,Henry J. Glintenkamp,"American painter, printmaker, and sculptor, 1887-1946",Q5,Q6581097
4866,Q55218122,Frederick Marquand,"American, 1799-1882; artist",Q5,Q6581097
4867,Q449156,Alvin Langdon Coburn,American-British photographer (1882–1966),Q5,Q6581097
4868,Q709670,Louis-Sébastien Mercier,French dramatist and writer (1740-1814),Q5,Q6581097
4869,Q727940,Lucien Lévy-Dhurmer,French painter (1865-1953),Q5,Q6581097
4870,Q60099,Willem Drost,Dutch painter (1633–1659),Q5,Q6581097
4871,Q700279,Johann Liss,Baroque painter (1597–1630),Q5,Q6581097
4872,Q3287924,Marc Dautry,"French engraver, sculptor and painter (1930-2008)",Q5,Q6581097
4873,Q4141511,Paul Nadar,French photographer (1856–1939),Q5,Q6581097
4874,Q5539186,George Farington,British artist (1752-1788),Q5,Q6581097
4875,Q336848,Gideon Lee,American politician (1778-1841),Q5,Q6581097
4876,Q41742721,Antonio Novelli,"Born 1599, in Castelfranco di Sotto; died 16 September 1662, in Florence. Italian, Sculptor, draughtsman. Religious subjects. Statues.",Q5,Q6581097
4877,Q66625,Martin Gerbert,German scholar,Q5,Q6581097
4878,Q3858097,Milton Resnick,American painter (1917-2004),Q5,Q6581097
4879,Q7344845,Robert Goodnough,American artist (1917-2010),Q5,Q6581097
4880,Q3327209,Rafael Bordalo Pinheiro,Portuguese artist (1846-1905),Q5,Q6581097
4881,Q20829615,Conrad Buff II,Swiss painter (1886-1975),Q5,Q6581097
4882,Q2053142,René-Antoine Houasse,French painter (1645-1710),Q5,Q6581097
4883,Q62109692,Jane Anthony Davis,American artist,Q5,Q6581072
4884,Q98111637,Pseudo Ortkens,Flemish artist (active 1510-1540),Q5,
4885,Q62992,Christian Rohlfs,German artist (1849-1938),Q5,Q6581097
4886,Q18674321,Peter Edmund Laurent,French classical scholar,Q5,Q6581097
4887,Q5563901,Giovanni Marco Pitteri,Italian engraver (1702-1786),Q5,Q6581097
4888,Q5362488,Elizabeth Buehrmann,American photographer (1886-1965),Q5,Q6581072
4889,Q3880938,Odoardo Fialetti,Italian painter (1573-1638),Q5,Q6581097
4890,Q63258835,Emmer Sewell,American artist,Q5,Q6581072
4891,Q779953,Henri Pourrat,French writer (1887-1959),Q5,Q6581097
4892,Q52384550,John Moffat,"Scottish photographer, engraver, and artist (1819-1894)",Q5,Q6581097
4893,Q3048705,Edward Topsell,English cleric and author,Q5,Q6581097
4894,Q21465699,Guy Bardone,"French artist, 1927-",Q5,Q6581097
4895,Q38188475,Jonas Ronander,Swedish silversmith,Q5,Q6581097
4896,Q20127353,Frank Crane,American illustrator,Q5,Q6581097
4897,Q3058529,Esprit Antoine Gibelin,French painter and draughtsman (1739-1813),Q5,Q6581097
4898,Q21497869,Franz Melchers,German artist (1868-1944),Q5,Q6581097
4899,Q24203380,Carlotta Corpron,American photographer (1901-1988),Q5,Q6581072
4900,Q23951201,Richard Desvallières,,Q5,Q6581097
4901,Q220136,Giambologna,Flemish sculptor (1529–1608),Q5,Q6581097
4902,Q551648,Jules Dalou,French sculptor (1838–1902),Q5,Q6581097
4903,Q5294439,Donald Grant Mitchell,American essayist and novelist (1822–1908),Q5,Q6581097
4904,Q96760357,Diana Thorne,Russian-American artist,Q5,Q6581072
4905,Q21451244,Gironimo Tomasi,Italian painter,Q5,Q6581097
4906,Q67036,Alfred Rethel,German artist (1816-1859),Q5,Q6581097
4907,Q43978293,Edward Gurden Dalziel,"English painter and draftsman, 1849-1889",Q5,Q6581097
4908,Q4934184,Bob Thompson,African American painter (1937–1966),Q5,Q6581097
4909,Q41774220,Eiraku Tokuzen,,Q5,Q6581097
4910,Q8016608,William Pars,British artist (1742-1782),Q5,Q6581097
4911,Q3848603,Mario Gabinio,Italian photographer and mountaineer (1871-1938),Q5,Q6581097
4912,Q5538011,George Cochran Lambdin,painter (1830-1896),Q5,Q6581097
4913,Q52149861,Alfred Mouillon,French painter,Q5,Q6581097
4914,Q474144,George Platt Lynes,American photographer (1907-1955),Q5,Q6581097
4915,Q381031,Sidney Nolan,Australian artist (1917-1992),Q5,Q6581097
4916,Q18600114,Ignacio León y Escosura,Spanish painter (1834–1901),Q5,Q6581097
4917,Q572735,Stanford White,American architect (1853-1906),Q5,Q6581097
4918,Q275165,Nikosthenes,6th-century BC Greek potter,Q5,Q6581097
4919,Q70999766,Isaac Doolittle,watchmaker 1721–1800,Q5,Q6581097
4920,Q21993968,Duncan Hannah,American visual artist and author (1952–2022),Q5,Q6581097
4921,Q5078481,Charles Guilloux,French artist (1866–1946),Q5,Q6581097
4922,Q5342980,Edward Francis Burney,British artist (1760-1848),Q5,Q6581097
4923,Q23015858,Jules James Rougeron,"French painter, engraver (etching). Figures, genre scenes",Q5,Q6581097
4924,Q2282231,George Ault,American painter (1891-1948),Q5,Q6581097
4925,Q6779067,Mary Beth McKenzie,American artist,Q5,Q6581072
4926,Q50424088,Joseph de Montalegre,,Q5,Q6581097
4927,Q689388,Franz Anton Maulbertsch,Austrian artist (1724-1796),Q5,Q6581097
4928,Q2712054,Ramón Bayeu,painter from Spain (1744-1793),Q5,Q6581097
4929,Q3588812,Émile La Bédollière,French writer and journalist (1812-1883),Q5,Q6581097
4930,Q63252813,Mertlene Perkins,African American Artist,Q5,Q6581072
4931,Q360978,Suzuki Harunobu,Japanese printmaker,Q5,Q6581097
4932,Q2004984,William Cheselden,English surgeon and teacher of anatomy and surgery (1688-1752),Q5,Q6581097
4933,Q2623883,William Collins,English landscape and genre painter (1788-1847),Q5,Q6581097
4934,Q6742320,Malcolm Fraser,Canadian artist (1868-1949),Q5,Q6581097
4935,Q29053289,Isabella Edenshaw,Haida basketweaver,Q5,Q6581072
4936,Q18600478,George Henry Laporte,German-British painter (1799–1873),Q5,Q6581097
4937,Q593284,Andrew Planche,French porcelain artist in England,Q5,Q6581097
4938,Q21781569,Leonid Lamm,Russian painter,Q5,Q6581097
4939,Q29410775,Nishimura Nantei,,Q5,Q6581097
4940,Q3166490,Jean-Joseph Bernard,"French artist, 1740-1809",Q5,Q6581097
4941,Q96657460,Adlai Stevenson Hardin,American artist (1901-1989),Q5,Q6581097
4942,Q2835078,Alfred Drury,English sculptor (1856–1944),Q5,Q6581097
4943,Q59137256,Nicola López,American contemporary artist (born 1975),Q5,Q6581072
4944,Q5728243,Henry Shaw,British antiquarian (1800-1873),Q5,Q6581097
4945,Q61476977,Pietro Lauro,Italian writer and translator,Q5,Q6581097
4946,Q29891528,Pierre Jacques Gaultier,"French engraver and draftsman, active 1740",Q5,Q6581097
4947,Q527001,Kenneth Noland,American artist (1924–2010),Q5,Q6581097
4948,Q579808,Ulysse Butin,French painter (1838-1883),Q5,Q6581097
4949,Q18534209,John Middleton,English landscape painter,Q5,Q6581097
4950,Q2372712,Pierre Coton,French Jesuit priest (1564-1626),Q5,Q6581097
4951,Q5133302,Clifton Pugh,Australian artist (1924-1990),Q5,Q6581097
4952,Q3189687,Julien Vallou de Villeneuve,French photographer (1795-1866),Q5,Q6581097
4953,Q364139,Adriaen Brouwer,Flemish painter (1605-1638),Q5,Q6581097
4954,Q26938759,Jules Constant Peyre,"Born 1811, in Sedan. French, Sculptor",Q5,Q6581097
4955,Q52154953,Charles Emmanuel Serret,French artist,Q5,Q6581097
4956,Q505758,Karl von Piloty,German painter (1826-1886),Q5,Q6581097
4957,Q52495640,Charles Gauthier Playter,British engraver,Q5,Q6581097
4958,Q598960,Pomponio Amalteo,Italian painter (1505-1588),Q5,Q6581097
4959,Q56738109,Hans of Landshut,"German potter from Landshut, active late 15th century",Q5,Q6581097
4960,Q58046120,Jacques-François Micault,"18th century French artist, miniaturist painter on porcelain at the Sèvres factory",Q5,Q6581097
4961,Q7346973,Robert Loftin Newman,American artist (1827-1912),Q5,Q6581097
4962,Q2445596,Peter Oliver,Miniatures painter from the UK (1594-1647),Q5,Q6581097
4963,Q4766499,Ann Lauterbach,"Poet, essayist, professor",Q5,Q6581072
4964,Q41273565,Charles Townley,English painter and engraver,Q5,Q6581097
4965,Q19802974,Lawrence Kupferman,American etcher,Q5,Q6581097
4966,Q23199053,Marino Bovi,"Italian engraver, 1757-1813",Q5,Q6581097
4967,Q81518,François Achille Bazaine,French general (1811-1888),Q5,Q6581097
4968,Q87477461,Kosti Ruohomaa,Finnish-American photographer,Q5,Q6581097
4969,Q326551,Pierre Matisse,French art dealer,Q5,Q6581097
4970,Q9711,Honoré de Balzac,French novelist and playwright (1799–1850),Q5,Q6581097
4971,Q22020191,Marc-Etienne Janety,Royal goldsmith,Q5,Q6581097
4972,Q8003025,William Lightfoot Price,American architect and pioneer in the use of reinforced concrete,Q5,Q6581097
4973,Q3749765,Francesco Celebrano,"Italian artist, sculptor and painter (1729-1814)",Q5,Q6581097
4974,Q4757068,Andrew Geddes,Scottish artist (1783-1844),Q5,Q6581097
4975,Q5735329,Herbert Railton,British artist and book illustrator (1857–1910),Q5,Q6581097
4976,Q3752060,Frans Francken III,Flemish Baroque painter (1607–1667),Q5,Q6581097
4977,Q1928967,Michael Rakowitz,American artist,Q5,Q6581097
4978,Q294651,"John Stuart, 3rd Earl of Bute","British nobleman, art collector, and Prime Minister of Great Britain (1713-1792)",Q5,Q6581097
4979,Q7079939,Ogden Pleissner,American artist (1905-1983),Q5,Q6581097
4980,Q368605,Konoe Nobutada,Japanese calligrapher (1565-1614),Q5,Q6581097
4981,Q2853710,Antoine Borel,French painter,Q5,Q6581097
4982,Q2903986,Girolamo Ruscelli,Italian writer,Q5,Q6581097
4983,Q706359,Auguste Herbin,painter (1882-1960),Q5,Q6581097
4984,Q61980582,Sarah West,"wife of Andrew, 2nd Lord Archer (1741-1801)",Q5,Q6581072
4985,Q3566081,Wang Shen,11th century Chinese painter,Q5,Q6581097
4986,Q24581624,Robert Sands,British landscape engraver (1792-1855),Q5,Q6581097
4987,Q5571,Andrea del Sarto,Italian painter (1486-1530),Q5,Q6581097
4988,Q18602853,Cornelis Bogerts,"Dutch draughtsman, engraver, etcher and lithographer (1745–1817)",Q5,Q6581097
4989,Q448,Denis Diderot,French Enlightenment philosopher writer and encyclopædist (1713–1784),Q5,Q6581097
4990,Q294326,Damien Hirst,English sculptor and installation hampartist,Q5,Q6581097
4991,Q6231284,John Edward Costigan,American artist (1888-1972),Q5,Q6581097
4992,Q83639829,Ames Van Wart,sculptor and artist,Q5,Q6581097
4993,Q19654778,Richard Samuel Chattock,"printmaker, painter and etcher",Q5,Q6581097
4994,Q2062027,Paul Rotterdam,Austrian artist,Q5,Q6581097
4995,Q18917565,Thomas Watson,English engraver,Q5,Q6581097
4996,Q2880657,Baldassare degli Embriachi,,Q5,Q6581097
4997,Q37606649,John Carwitham,"British engraver and draftsman, active 1723-1741",Q5,Q6581097
4998,Q52154872,Giacomo Luswergh,,Q5,Q6581097
4999,Q2934999,Camille Lefèvre,French sculptor,Q5,Q6581097
5000,Q459378,Beatrice Wood,American artist (1893-1998),Q5,Q6581072
5001,Q707729,Jean-François de Troy,French painter (1679-1752),Q5,Q6581097
5002,Q3575387,Zhao Chang,Chinese painter,Q5,Q6581097
5003,Q76236625,Janet Livingston,(1743-1828); wife of General Richard Montgomery,Q5,Q6581072
5004,Q3173447,Jean Massard,French engraver 1740-1822,Q5,Q6581097
5005,Q8004169,William Addison Dwiggins,American artist (1880–1956),Q5,Q6581097
5006,Q548407,Daniel Hopfer,Engraver from Germany (1470-1536),Q5,Q6581097
5007,Q38007569,Robert Garrard,"British goldsmith, 1793-1881",Q5,Q6581097
5008,Q20684818,Roger Minick,American photographer (1944- ),Q5,Q6581097
5009,Q3566605,Watanabe Shōtei,Japanese painter (1852-1918),Q5,Q6581097
5010,Q787064,Thomas Gaugain,Anglo-French stipple-engraver (1756-1810),Q5,Q6581097
5011,Q21994034,Carole Seborovski,American artist,Q5,Q6581072
5012,Q36001344,Girolamo Pedrignani,Italian artist,Q5,Q6581097
5013,Q928416,Clyde Connell,American artist (1901–1998),Q5,Q6581072
5014,Q809600,Fogg Museum,"museum in Cambridge, Massachusetts; part of Harvard Art Museums",Q207694,
5015,Q493515,Andrea Bregno,Italian artist (1418-1503),Q5,Q6581097
5016,Q382206,Affecter,Ancient Attic-Greek potter and vase-painter of the black-figure style,Q5,
5017,Q22117398,Bernadine Custer,painter,Q5,Q6581072
5018,Q27514259,Lennart Iverus,Swedish painter,Q5,Q6581097
5019,Q28072633,Francesco di Paolo Montereale,"Italian artist, active 1491-1503",Q5,Q6581097
5020,Q5479389,Francesco Grue,artist (1618-1673),Q5,Q6581097
5021,Q235647,Adélaïde Labille-Guiard,French painter (1749-1803),Q5,Q6581072
5022,Q1899160,Marion Greenwood,"American muralist, painter and printmaker (1909-1970)",Q5,Q6581072
5023,Q954089,"Charles Howard, 1st Earl of Nottingham",English politician and naval commander (1536–1624),Q5,Q6581097
5024,Q21065942,William Kienbusch,American painter (1914-1980),Q5,Q6581097
